timestamp,datetime,value,cash
1701561600000,2023-12-03 00:00,486288.26587366825,39103.765423293575
1703808000000,2023-12-29 00:00,513731.86023102415,39103.765423293575
1706054400000,2024-01-24 00:00,506089.52355330635,506089.52355330635
1708300800000,2024-02-19 00:00,545668.1560202256,50608.952355330635
1710547200000,2024-03-16 00:00,839702.983873531,50608.952355330635
1712793600000,2024-04-11 00:00,1123550.9526936961,50608.952355330635
1715040000000,2024-05-07 00:00,947711.0391267878,947711.0391267878
1717286400000,2024-06-02 00:00,902892.1373568361,94771.10391267878
1719532800000,2024-06-28 00:00,856729.4450192727,856729.4450192727
1721779200000,2024-07-24 00:00,871827.5769934974,85672.94450192724
1724025600000,2024-08-19 00:00,770658.046997087,770658.046997087
1726272000000,2024-09-14 00:00,770311.4241873432,77065.80469970871
1728518400000,2024-10-10 00:00,774106.4177714047,774106.4177714047
1730764800000,2024-11-05 00:00,1140187.8809297401,77410.64177714044
1733011200000,2024-12-01 00:00,2831103.4177331533,77410.64177714044
1735257600000,2024-12-27 00:00,2316006.7562247575,2316006.7562247575
1737504000000,2025-01-22 00:00,1875334.4882038643,198003.2775809355
1739750400000,2025-02-17 00:00,1750413.8470145978,1750413.8470145978
1741996800000,2025-03-15 00:00,1750413.8470145978,1750413.8470145978
1744243200000,2025-04-10 00:00,1750413.8470145978,1750413.8470145978
1746489600000,2025-05-06 00:00,1692774.3693382237,175041.38470145944
1748736000000,2025-06-01 00:00,1871032.3684054331,1871032.3684054331
1750982400000,2025-06-27 00:00,1871032.3684054331,1871032.3684054331
1753228800000,2025-07-23 00:00,2265013.647272137,187103.23684054334
1755475200000,2025-08-18 00:00,1714095.5909847452,183407.79099258478
1757721600000,2025-09-13 00:00,1789749.2776724547,152025.21565882117
1759968000000,2025-10-09 00:00,1364604.9576790296,141299.31719105528
1762214400000,2025-11-04 00:00,1093366.0388854058,1093366.0388854058
1764460800000,2025-11-30 00:00,1093366.0388854058,1093366.0388854058
1766707200000,2025-12-26 00:00,1093366.0388854058,1093366.0388854058
1768953600000,2026-01-21 00:00,958465.2610090743,958465.2610090743
1771200000000,2026-02-16 00:00,958465.2610090743,958465.2610090743
1773446400000,2026-03-14 00:00,958465.2610090743,958465.2610090743
1775692800000,2026-04-09 00:00,883336.787074007,883336.787074007
1777939200000,2026-05-05 00:00,1050101.4980525875,88333.67870740069
1780185600000,2026-05-31 00:00,944987.3270221911,944987.3270221911
1782432000000,2026-06-26 00:00,944987.3270221911,944987.3270221911
1784678400000,2026-07-22 00:00,944987.3270221911,944987.3270221911
1786924800000,2026-08-17 00:00,944987.3270221911,944987.3270221911
1787961600000,2026-08-29 00:00,1050933.521949856,94498.73270221904
